"dow","time_utc","latitude","longitude"
"1","00:00:00","35.115088","-89.894172"
"1","00:00:00","34.57587","-82.70908"
"1","00:00:00","41.94985","-87.6638528"
"1","00:00:00","29.7724542","-95.809691515"
"1","00:00:00","41.94985","-87.6638528"
"1","00:00:00","21.280251512850676","-157.779957655047"
"1","00:00:00","39.02408","-94.195114"
"1","00:00:00","44.448369","-95.788465"
"1","00:00:00","35.37206178044613","-94.35845838583496"
"1","00:00:00","31.322884","-89.375683"
"1","00:00:00","30.187799","-85.649902"
"1","00:00:00","38.981689","-77.095173"
"1","00:00:00","30.187799","-85.649902"
"1","00:00:00","34.082027","-118.3618744"
"1","00:00:00","21.2945221","-157.8533029"
"1","00:00:00","40.051419","-82.915277"
"1","00:00:00","30.187799","-85.649902"
"1","00:00:00","30.387726","-97.739624"
"1","00:00:00","30.187799","-85.649902"
"1","00:00:00","21.280251512850676","-157.779957655047"
"1","00:00:00","37.1264308","-113.6065537"
"1","00:00:00","34.944868","-82.00075"
"1","00:00:00","33.487905","-82.077392"
"1","00:00:00","29.81915","-94.895582"
"1","00:00:47","34.206404","-118.216925"
"1","00:01:00","41.510673","-81.602635"
"1","00:01:00","30.4236955","-97.8467778"
"1","00:01:00","41.2246489","-111.9715894"
"1","00:01:00","26.685723","-81.903784"
"1","00:01:00","41.510673","-81.602635"
"1","00:01:00","26.685723","-81.903784"
"1","00:01:00","28.353787","-80.6881"
"1","00:01:00","39.8332","-75.536005"
"1","00:01:00","31.8346","-106.5634"
"1","00:01:00","39.996031","-83.027929"
"1","00:01:00","30.21853","-85.873588"
"1","00:01:00","29.7413","-95.7766"
"1","00:01:00","30.158598","-92.043414"
"1","00:01:00","38.351508","-90.152288"
"1","00:01:00","32.349046","-106.766633"
"1","00:01:00","36.155500950425115","-115.33274692094092"
"1","00:01:00","33.9148759","-117.3324285"
"1","00:01:00","36.1233016","-94.1565558"
"1","00:01:00","41.097772","-73.956485"
"1","00:02:00","41.510673","-81.602635"
"1","00:02:00","38.51877718079387","-122.78229776417584"
"1","00:02:00","36.2025737","-115.2456287"
"1","00:02:00","41.7152624","-93.621391"
"1","00:02:00","41.7152624","-93.621391"
"1","00:02:00","36.2025737","-115.2456287"
"1","00:02:00","38.674509","-90.41099"
"1","00:02:00","36.058445","-95.856467"
"1","00:02:00","29.653743","-98.447156"
"1","00:02:00","28.9418778","-81.2554788"
"1","00:02:00","21.2778339","-157.7053825"
"1","00:02:00","36.300506","-119.316931"
"1","00:02:00","33.9148759","-117.3324285"
"1","00:02:00","38.51877718079387","-122.78229776417584"
"1","00:02:00","26.685723","-81.903784"
"1","00:02:00","36.300506","-119.316931"
"1","00:02:00","36.155500950425115","-115.33274692094092"
"1","00:02:00","44.053766","-91.636782"
"1","00:02:00","38.680255","-121.335658"
"1","00:02:00","38.993974","-104.810708"
"1","00:02:00","44.053766","-91.636782"
"1","00:02:00","33.316794","-111.977313"
"1","00:02:00","38.993974","-104.810708"
"1","00:02:00","37.288734","-121.989949"
"1","00:02:00","30.1208","-95.3768"
"1","00:02:00","35.1323819","-90.0600523"
"1","00:02:00","32.349046","-106.766633"
"1","00:02:00","33.316794","-111.977313"
"1","00:02:00","28.557424","-81.340708"
"1","00:03:00","30.655001","-87.901703"
"1","00:03:00","45.286154","-93.808001"
"1","00:03:00","31.8346","-106.5634"
"1","00:03:00","34.374793","-89.497238"
"1","00:03:00","35.980576","-86.565721"
"1","00:03:00","38.3967011","-75.5672308"
"1","00:03:00","31.778289","-106.382761"
"1","00:03:00","47.7127","-122.18"
"1","00:03:00","43.6648","-116.6868"
"1","00:03:00","35.05111345546406","-89.68517060794977"
"1","00:03:00","41.2246489","-111.9715894"
"1","00:03:00","40.7733806","-73.983597"
"1","00:03:00","33.946504","-83.410257"
"1","00:03:00","36.358438","-86.494293"
"1","00:03:00","43.6648","-116.6868"
"1","00:03:00","30.1208","-95.3768"
"1","00:03:00","38.438552","-122.713037"
"1","00:03:00","30.655001","-87.901703"
"1","00:03:00","36.086148","-79.807488"
"1","00:03:00","35.757901","-78.734872"
"1","00:03:00","39.1614","-84.273399"
"1","00:03:00","26.685723","-81.903784"
"1","00:04:00","36.2379865","-115.1223069"
"1","00:04:00","28.470092","-81.446234"
