"date_time_utc","latitude","longitude"
"2023-05-07 05:03:00","30.658","-88.2056"
"2023-05-07 05:04:00","40.714144","-73.9620477"
"2023-05-07 05:08:00","30.658","-88.2056"
"2023-05-07 05:21:00","40.714144","-73.9620477"
"2023-05-07 07:52:00","36.2379865","-115.1223069"
"2023-05-07 07:52:00","36.2379865","-115.1223069"
"2023-05-07 07:58:00","33.134681","-117.19297"
"2023-05-07 09:38:00","32.8865134","-111.6850592"
"2023-05-07 10:35:00","26.936663","-80.080256"
"2023-05-07 11:16:00","40.911964","-73.779566"
"2023-05-07 11:48:00","40.1664","-75.4794"
"2023-05-07 11:51:00","40.1664","-75.4794"
"2023-05-07 12:08:00","26.1185","-81.758102"
"2023-05-07 12:09:00","28.470092","-81.446234"
"2023-05-07 12:11:00","42.227631","-83.681855"
"2023-05-07 12:13:00","27.24079193171577","-80.27390367112147"
"2023-05-07 12:17:00","33.2234","-97.1691"
"2023-05-07 12:33:00","36.767803","-76.015434"
"2023-05-07 12:37:00","41.528236","-83.641292"
"2023-05-07 12:40:00","38.5773","-90.6309"
"2023-05-07 12:40:00","38.5773","-90.6309"
"2023-05-07 12:40:00","42.9535","-78.6969"
"2023-05-07 12:41:00","44.776443","-93.410869"
"2023-05-07 12:51:00","42.546704","-83.145223"
"2023-05-07 12:53:00","42.334633","-83.384298"
"2023-05-07 12:58:00","40.7602944","-73.8335025"
"2023-05-07 12:58:00","42.334633","-83.384298"
"2023-05-07 12:59:00","40.7602944","-73.8335025"
"2023-05-07 12:59:00","40.7602944","-73.8335025"
"2023-05-07 13:01:00","29.1051","-81.0315"
"2023-05-07 13:01:00","40.1141901","-76.2920539"
"2023-05-07 13:01:00","29.1051","-81.0315"
"2023-05-07 13:01:00","29.1051","-81.0315"
"2023-05-07 13:03:00","40.7651268","-73.3071465"
"2023-05-07 13:04:00","38.3464149","-85.6991781"
"2023-05-07 13:04:00","38.3464149","-85.6991781"
"2023-05-07 13:04:00","38.3464149","-85.6991781"
"2023-05-07 13:08:00","43.004407","-83.751386"
"2023-05-07 13:11:00","33.1549","-96.891"
"2023-05-07 13:11:00","33.1549","-96.891"
"2023-05-07 13:11:00","41.570262","-93.807039"
"2023-05-07 13:13:00","39.000054","-76.908246"
"2023-05-07 13:15:00","34.06846","-81.1571287"
"2023-05-07 13:16:00","41.827085","-71.416717"
"2023-05-07 13:19:00","38.30253826335303","-85.55769896931851"
"2023-05-07 13:20:00","42.195686","-83.190259"
"2023-05-07 13:21:00","41.5733821","-90.5185027"
"2023-05-07 13:21:00","41.696232","-83.64177"
"2023-05-07 13:21:00","42.195686","-83.190259"
"2023-05-07 13:22:00","43.0695434","-76.174513"
"2023-05-07 13:23:00","42.65976","-84.549754"
"2023-05-07 13:24:00","42.65976","-84.549754"
"2023-05-07 13:24:00","33.478417","-84.444658"
"2023-05-07 13:25:00","33.478417","-84.444658"
"2023-05-07 13:25:00","33.478417","-84.444658"
"2023-05-07 13:26:00","44.506439","-73.079681"
"2023-05-07 13:26:00","29.698901","-95.7647927"
