lng,lat
-74.005972,40.712783
-74.007751,40.713818
-74.009530,40.714853
-74.011309,40.715888
-74.013088,40.716923
-74.014867,40.717958
-74.016646,40.718993
-74.018425,40.720028
-74.020204,40.721063
-74.021983,40.722098
-74.006972,40.713783
-74.008751,40.714818
-74.010530,40.715853
-74.012309,40.716888
-74.014088,40.717923
-74.015867,40.718958
-74.017646,40.719993
-74.019425,40.721028
-74.021204,40.722063
-74.023083,40.723098
-74.007972,40.714783
-74.009751,40.715818
-74.011530,40.716853
-74.013309,40.717888
-74.015088,40.718923
-74.016867,40.719958
-74.018646,40.720993
-74.020425,40.722028
-74.022204,40.723063
-74.024083,40.724098
